1,플로랑스,044-867-0713,"세종 보람동 616-2 시드니하트 120,121,122호",10:30 ~ 21:30,없음,21시,플로랑스브런치," ₩	15,900 ",13,0,0,x,0,x, 금강을 바라보는 경치를 보며 여유를 즐길 수 있는 분위기 좋은 보람동 대표 브런치카페
,,,,브런치 라스트오더 19:20,,,젤라또생크림크로플," ₩	7,500 ",야외 4,,,,,,
,,,,,,,플로랑스파르페," ₩	14,000 ",,,,,,,
,,,,,,,아메라카노," ₩	5,000 ",,,,,,,
,,,,,,,로투스아포카토," ₩	6,500 ",,,,,,,
,,,,,,,,,,,,,,,
2,느루커피,0507-1350-1634,세종 한누리대로 2165 호려울마을7단지 상가 1층 C-119호,11:00 ~ 21:00,일요일,20:30,아메리카노," ₩	4,000 ",5,0,0,x,0,0,깔끔 심플한 인테리어로 반려동물과 함께 즐길 수 있는 카페
,,,,,,,느루커피," ₩	5,800 ",,,,,,,
,,,,,,,에쏘세트," ₩	6,000 ",,,,,,,
,,,,,,,호주식,,,,,,,,
,,,,,,,카푸치노 / 아이스커피,5000 / 6000,,,,,,,
,,,,,,,크로플,6000~,,,,,,,
,,,,,,,,,,,,,,,
3,험플리비,0507-1353-2904,"세종 시청대로 209 금강르네상스 110, 111, 208, 209호",10:30 ~ 19:00,없음,18:30,애플아보카도 ," ₩	9,500 ",1층 12,0,0,x,0,x,넓고 쾌적한 매장과 다양한 종류의 브런치와 커피를 맛볼 수 있는 브런치카페
,,,,목금토 10:30 ~ 22:00,카페,21:30,플레이트B / 플레이트Y," ₩	18,900 ",2층 36,,,,,,
,,,,10:30 ~ 15:00,브런치,14:00,오믈렛B," ₩	15,900 ",,,,,,,
,,,,토일 10:30 ~ 16:00,,15:00,아메리카노," ₩	4,500 ",,,,,,,
,,,,,,,바닐라빈라떼," ₩	5,500 ",,,,,,,
,,,,,,,코코넛커피스무디," ₩	6,000 ",,,,,,,
,,,,,,,,,,,,,,,
4,써밋뷰카페,044-865-7762,세종 시청대로 137 4층,11:00 ~ 24:00,없음,23시,쌈치노," ₩	6,000 ",37,0,0,x,0,x,금강조경을 보며 브런치와 커피를 즐길 수 있는 세종시에 유일한 브런치 루프탑카페
,,,,,,,수제바닐라라떼," ₩	6,500 ",,,,,,,
,,,,,,,하우스와인," ₩	7,000 ",,,,,,,
,,,,,,,에그베네딕트,,,,,,,,
,,,,,,,해쉬브라운 / 카프레제," ₩	14,000 ",,,,,,,
,,,,,,,스테이크,,,,,,,,
,,,,,,,부채살 / 비프찹,32000 / 28000,,,,,,,
,,,,,,,,,,,,,,,
5,오티비커피 ,0507-1352-8845,세종 한누리대로 2129 스타힐타워2 102호 ,09:00 ~ 21:00,없음,20:30,브루잉커피,,6,0,0,0,0,x,다양한 브루잉 커피와 공간이 주는 편안함을 느낄 수 있는 카페
,(Out Of The Blue),,,일 11:00 ~ 18:00,,17:30,브라질 / 페루 / 에티오피아 / 스페셜,4000 / 5000 / 6000,,,,,,,
,,,,,,,피스타치오라떼," ₩	4,500 ",,,,,,,
,,,,,,,크림,,,,,,,,
,,,,,,,흑임자 / 글레이즈드," ₩	5,000 ",,,,,,,
,,,,,,,에스프레소," ₩	3,500 ",,,,,,,
,,,,,,,아메리카노," ₩	3,500 ",,,,,,,
,,,,,,,콜드브루 / 라떼," ₩	4,500 ",,,,,,,
,,,,,,,,,,,,,,,
