1,그로서리스터프,0507-1370-2118,세종 새롬중앙로 63 1층 110호,10:00 ~ 20:30,없음,20:00,스터프커피," ₩	6,000 ",4,0,0,0,0,x,미국감성의 그로서리컨셉의 매장으로 미국 샵에 들어온것같은 느낌을 주는
,,,,,,,바닐라빈스윗밀크," ₩	4,500 ",,,,,,,수제 쿠키 쇼룸카페
,,,,,,,쿠키 (스터프/브라우니/모카마시멜로," ₩	4,000 ",,,,,,,
,,,,,,,/라즈베리크림치즈/맛차화이트,,,,,,,,
,,,,,,,,,,,,,,,
2,하이로우 커피스탠드,044-865-1983,세종 새롬로 26 B137호 ,08:00 ~ 22:00 ,일요일,21시,오늘의 커피," ₩	4,500 ",5,0,0,0,0,x,유럽풍의 인테리어와 에스프레소를 전문적으로하는 에스프레소 바 카페
,,,,,,,에스프레소," ₩	3,800 ",,,,,,,
,,,,,,,(콘피나/로마노/스트라빠차토/피에노),,,,,,,,
,,,,,,,아메리카노," ₩	4,300 ",,,,,,,
,,,,,,,아인슈페너," ₩	5,800 ",,,,,,,
,,,,,,,스콘 (플레인/초코/말차),3/4,,,,,,,
,,,,,,,,,,,,,,,
3,시나이,0507-1381-3412,세종 새롬로 26 새뜸마을13단지 단지상가1층 B110호,11:00 ~ 21:00,일요일,20:30,아메리카노," ₩	4,000 ",4,0,0,x,0,x,깔끔하고 심플한 인테리어와 크로플과 아메리카노가 맛있는 카페
,,,,,,,라떼," ₩	4,500 ",,,,,,,
,,,,,,,아인슈페너," ₩	5,500 ",,,,,,,
,,,,,,,귀리라떼," ₩	5,500 ",,,,,,,
,,,,,,,크로플," ₩	8,500 ",,,,,,,
,,,,,,,,,,,,,,,
4,케키룸,0507-1484-6007,세종 새롬남로 102 새뜸마을 12단지 상가 3동 1층 123호,11:00 ~ 18:30,일요일,18시,주문제작케이크,변동,4,0,0,x,0,0,심플한 인테리어와 매장내 판매되는 제품 외에 주문제작을 전문적으로 하는 카페
,,,,,,,아메리카노," ₩	3,000 ",,,,,,,
,,,,,,,카페라떼," ₩	4,500 ",,,,,,,
,,,,,,,수제바닐라빈라떼," ₩	4,800 ",,,,,,,
,,,,,,,블루버터스카치라떼," ₩	5,900 ",,,,,,,
,,,,,,,바스크치즈케이크," ₩	5,800 ",,,,,,,
,,,,,,,,,,,,,,,
5,앗빙수,0507-1326-7763,세종 새롬중앙로 55 행운빌딩 207호,10:00 ~ 21:00,없음,20:00,밀크꼬소빙수," ₩	11,000 ",13,0,0,0,0,x,국산팥을 이용하여 직접 만든 팥빙수 전문점 4계절 내내 빙수를 즐길수 있는 카페
,,,,,,,더위사냥빙수," ₩	14,000 ",,,,,,,
,,,,,,,옛날과일빙수," ₩	15,000 ",,,,,,,
,,,,,,,곰딱한말차빙수," ₩	13,000 ",,,,,,,
,,,,,,,,,,,,,,,
6,언노크,044-715-7556,세종 새롬로 26 B-146호,09:30 ~ 20:00,일요일,19:30,아메리카노," ₩	3,500 ",4,0,0,0,0,x,검정과 레드조합의 힙한 인테리어와 오픈주방형식의 바로 아메리카노가 맛있는 카페
,,,,,,,카페라떼," ₩	4,000 ",,,,,,,
,,,,,,,바닐라빈라떼," ₩	4,500 ",,,,,,,
,,,,,,,돌체라떼," ₩	4,500 ",,,,,,,
,,,,,,,크림라떼," ₩	5,500 ",,,,,,,
,,,,,,,,,,,,,,,
7,두헤브마카롱,0507-1301-0383,세종 새롬중앙로 33 203호,10:00 ~ 19:00,일요일,18:30,아메리카노," ₩	3,200 ",9,0,0,0,0,x,다양한 종류의 마카롱을 합리적인 금액에 판매하는 마카롱전문 카페
,,,,12:00 ~ 18:00,,17:30,cc크림커피," ₩	5,000 ",,,,,,,
,,,,,,,녹차라떼," ₩	3,500 ",,,,,,,
,,,,,,,마카롱,1800~,,,,,,,
,,,,,,,,,,,,,,,
8,츄러스앤디저트,0507-1336-3769,세종 새롬중앙로 47,11:00 ~ 20:00,일요일,19:30,아메리카노," ₩	2,500 ",,,,,,,엄선된 재료들로만 직접 반죽을하여 신선하게 만드는 츄러스와 디저트 전문매장 
,,,,,,,진짜딸기라떼," ₩	4,000 ",,,,,,,푸드트럭도 같이하심
,,,,,,,아츄( 아이스크림 + 츄러스),,,,,,,,
,,,,,,,(S / L),3000 / 4000,,,,,,,
,,,,,,,스틱츄러스," ₩	1,000 ",,,,,,,
,,,,,,,롱츄러스," ₩	2,500 ",,,,,,,
,,,,,,,레인보우츄러스," ₩	3,000 ",,,,,,,
,,,,,,,타코야끼,,,,,,,,
,,,,,,,(7알/11알/15알),3000/4500/6000,,,,,,,
,,,,,,,,,,,,,,,
9,무세이온북카페,0507-1347-2809,세종 새롬중앙로 62-15 해피라움W 219호,12:00 ~ 20:00,"토,일",19:30,무세이온커피," ₩	3,500 ",17,0,0,x,0,0,혼자서도 조용히 책읽기 좋은 북카페
,,,,,,,요거트 (그레놀라시리얼 + 과일)," ₩	2,500 ",,,,,,,역사 & 미술학원과 연계되어있음
,,,,,,,크림브뤨레," ₩	4,000 ",,,,,,,
